MODEL COMPARISON SUMMARY
============================================================

Model                      | Mode       | Accuracy (%) | Excluded/Total  | Word Count     
----------------------------------------------------------------------
llavaonevision_0.5B        | 0-shot     | 6.94         | 0/1038          | 4.57      
llavaonevision_7B          | 0-shot     | 2.89         | 0/1038          | 4.57      
MedVLM-R1                  | 0-shot     | 2.89         | 0/1038          | 4.57      
llavamed_7B                | 0-shot     | 0.00         | 0/1038          | 4.57      
llama33textonly (baseline) | 0-shot     | 0.00         | 0/1038          | 4.57      
llava_7B                   | 0-shot     | 0.00         | 0/1038          | 4.57      
llavanext_7B               | 0-shot     | 0.00         | 0/1038          | 4.57      
llava_13B                  | 0-shot     | 0.00         | 0/1038          | 4.57      
medgemma_4b                | 0-shot     | 0.00         | 0/1038          | 4.57      
qwen3B                     | 0-shot     | 0.00         | 0/1038          | 4.57      
llama32_vision_90b         | 0-shot     | 0.00         | 0/1038          | 4.57      
qwen7B                     | 0-shot     | 0.00         | 0/1038          | 4.57      
gpt-4o                     | 0-shot     | 0.00         | 0/1038          | 4.57      
qwen32B                    | 0-shot     | 0.00         | 0/1038          | 4.57      
qwen72B                    | 0-shot     | 0.00         | 0/1038          | 4.57      
----------------------------------------------------------------------
qwen7B                     | ICL        | 35.36        | 0/1038          | 4.57      
qwen3B                     | ICL        | 28.03        | 0/1038          | 4.57      
llama32_vision_90b         | ICL        | 27.46        | 0/1038          | 4.57      
llavaonevision_7B          | ICL        | 25.72        | 0/1038          | 4.57      
random (baseline)          | ICL        | 25.34        | 0/1038          | 4.57      
qwen32B                    | ICL        | 25.24        | 0/1038          | 4.57      
qwen72B                    | ICL        | 24.37        | 0/1038          | 4.57      
MedVLM-R1                  | ICL        | 24.28        | 0/1038          | 4.57      
llava_13B                  | ICL        | 21.10        | 0/1038          | 4.57      
llava_7B                   | ICL        | 20.52        | 0/1038          | 4.57      
majority (baseline)        | ICL        | 17.53        | 0/1038          | 4.57      
llavaonevision_0.5B        | ICL        | 14.26        | 0/1038          | 4.57      
medgemma_4b                | ICL        | 13.29        | 0/1038          | 4.57      
gpt-4o                     | ICL        | 7.80         | 0/1038          | 4.57      
llama33textonly (baseline) | ICL        | 3.56         | 0/1038          | 4.57      
llavanext_7B               | ICL        | 3.56         | 0/1038          | 4.57      
llavamed_7B                | ICL        | 0.19         | 0/1038          | 4.57      


PER-PROBLEM ACCURACY COMPARISON (%) - 0-shot
------------------------------------------------------------
Problem ID   | llavamed_7B  | llama33textonly (baseline) | llava_7B     | llavanext_7B | llava_13B    | llavaonevision_0.5B | llavaonevision_7B | MedVLM-R1    | medgemma_4b  | qwen3B       | llama32_vision_90b | qwen7B       | gpt-4o       | qwen32B      | qwen72B     
44c46ae9-37d5-43b0-afab-162db2096c2c_perm_19 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
44c46ae9-37d5-43b0-afab-162db2096c2c_perm_2 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
44c46ae9-37d5-43b0-afab-162db2096c2c_perm_20 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
44c46ae9-37d5-43b0-afab-162db2096c2c_perm_21 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
44c46ae9-37d5-43b0-afab-162db2096c2c_perm_22 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
44c46ae9-37d5-43b0-afab-162db2096c2c_perm_23 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
44c46ae9-37d5-43b0-afab-162db2096c2c_perm_24 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
44c46ae9-37d5-43b0-afab-162db2096c2c_perm_3 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
44c46ae9-37d5-43b0-afab-162db2096c2c_perm_4 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
44c46ae9-37d5-43b0-afab-162db2096c2c_perm_5 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
44c46ae9-37d5-43b0-afab-162db2096c2c_perm_6 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
44c46ae9-37d5-43b0-afab-162db2096c2c_perm_7 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
44c46ae9-37d5-43b0-afab-162db2096c2c_perm_8 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
44c46ae9-37d5-43b0-afab-162db2096c2c_perm_9 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
48095d55-9265-4a0a-b9dc-baa2343c14af_perm_1 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
48095d55-9265-4a0a-b9dc-baa2343c14af_perm_10 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
48095d55-9265-4a0a-b9dc-baa2343c14af_perm_11 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
48095d55-9265-4a0a-b9dc-baa2343c14af_perm_12 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
48095d55-9265-4a0a-b9dc-baa2343c14af_perm_13 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
48095d55-9265-4a0a-b9dc-baa2343c14af_perm_14 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
48095d55-9265-4a0a-b9dc-baa2343c14af_perm_15 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
48095d55-9265-4a0a-b9dc-baa2343c14af_perm_16 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
48095d55-9265-4a0a-b9dc-baa2343c14af_perm_17 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
48095d55-9265-4a0a-b9dc-baa2343c14af_perm_18 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
48095d55-9265-4a0a-b9dc-baa2343c14af_perm_19 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
48095d55-9265-4a0a-b9dc-baa2343c14af_perm_2 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
48095d55-9265-4a0a-b9dc-baa2343c14af_perm_20 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
48095d55-9265-4a0a-b9dc-baa2343c14af_perm_21 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
48095d55-9265-4a0a-b9dc-baa2343c14af_perm_22 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
48095d55-9265-4a0a-b9dc-baa2343c14af_perm_23 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
48095d55-9265-4a0a-b9dc-baa2343c14af_perm_24 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
48095d55-9265-4a0a-b9dc-baa2343c14af_perm_3 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
48095d55-9265-4a0a-b9dc-baa2343c14af_perm_4 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
48095d55-9265-4a0a-b9dc-baa2343c14af_perm_5 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
48095d55-9265-4a0a-b9dc-baa2343c14af_perm_6 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
48095d55-9265-4a0a-b9dc-baa2343c14af_perm_7 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
48095d55-9265-4a0a-b9dc-baa2343c14af_perm_8 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
48095d55-9265-4a0a-b9dc-baa2343c14af_perm_9 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
4894916c-f303-4d6c-8f76-73edee07f0b2_perm_1 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
4894916c-f303-4d6c-8f76-73edee07f0b2_perm_2 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
4a8e141c-c247-45f0-84c2-5486cfbd62cf_perm_1 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
4a8e141c-c247-45f0-84c2-5486cfbd62cf_perm_2 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
4a8e141c-c247-45f0-84c2-5486cfbd62cf_perm_3 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
4a8e141c-c247-45f0-84c2-5486cfbd62cf_perm_4 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
4a8e141c-c247-45f0-84c2-5486cfbd62cf_perm_5 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
4a8e141c-c247-45f0-84c2-5486cfbd62cf_perm_6 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
4b8852b6-d518-4f21-beef-e016a52ce821_perm_1 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
4b8852b6-d518-4f21-beef-e016a52ce821_perm_2 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
4b8852b6-d518-4f21-beef-e016a52ce821_perm_3 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
4b8852b6-d518-4f21-beef-e016a52ce821_perm_4 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
4b8852b6-d518-4f21-beef-e016a52ce821_perm_5 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
4b8852b6-d518-4f21-beef-e016a52ce821_perm_6 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
4eff8140-addf-49c6-b690-e63ace50df8e_perm_1 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
4eff8140-addf-49c6-b690-e63ace50df8e_perm_10 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
4eff8140-addf-49c6-b690-e63ace50df8e_perm_11 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
4eff8140-addf-49c6-b690-e63ace50df8e_perm_12 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
4eff8140-addf-49c6-b690-e63ace50df8e_perm_13 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
4eff8140-addf-49c6-b690-e63ace50df8e_perm_14 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
4eff8140-addf-49c6-b690-e63ace50df8e_perm_15 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
4eff8140-addf-49c6-b690-e63ace50df8e_perm_16 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
4eff8140-addf-49c6-b690-e63ace50df8e_perm_17 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
4eff8140-addf-49c6-b690-e63ace50df8e_perm_18 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
4eff8140-addf-49c6-b690-e63ace50df8e_perm_19 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
4eff8140-addf-49c6-b690-e63ace50df8e_perm_2 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
4eff8140-addf-49c6-b690-e63ace50df8e_perm_20 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
4eff8140-addf-49c6-b690-e63ace50df8e_perm_21 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
4eff8140-addf-49c6-b690-e63ace50df8e_perm_22 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
4eff8140-addf-49c6-b690-e63ace50df8e_perm_23 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
4eff8140-addf-49c6-b690-e63ace50df8e_perm_24 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
4eff8140-addf-49c6-b690-e63ace50df8e_perm_3 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
4eff8140-addf-49c6-b690-e63ace50df8e_perm_4 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
4eff8140-addf-49c6-b690-e63ace50df8e_perm_5 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
4eff8140-addf-49c6-b690-e63ace50df8e_perm_6 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
4eff8140-addf-49c6-b690-e63ace50df8e_perm_7 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
4eff8140-addf-49c6-b690-e63ace50df8e_perm_8 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
4eff8140-addf-49c6-b690-e63ace50df8e_perm_9 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
52c5d2a7-cf61-4508-a681-4bcddbbe63f7_perm_1 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
52c5d2a7-cf61-4508-a681-4bcddbbe63f7_perm_10 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
52c5d2a7-cf61-4508-a681-4bcddbbe63f7_perm_11 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
52c5d2a7-cf61-4508-a681-4bcddbbe63f7_perm_12 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
52c5d2a7-cf61-4508-a681-4bcddbbe63f7_perm_13 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
52c5d2a7-cf61-4508-a681-4bcddbbe63f7_perm_14 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
52c5d2a7-cf61-4508-a681-4bcddbbe63f7_perm_15 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
52c5d2a7-cf61-4508-a681-4bcddbbe63f7_perm_16 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
52c5d2a7-cf61-4508-a681-4bcddbbe63f7_perm_17 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
52c5d2a7-cf61-4508-a681-4bcddbbe63f7_perm_18 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
52c5d2a7-cf61-4508-a681-4bcddbbe63f7_perm_19 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
52c5d2a7-cf61-4508-a681-4bcddbbe63f7_perm_2 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
52c5d2a7-cf61-4508-a681-4bcddbbe63f7_perm_20 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
52c5d2a7-cf61-4508-a681-4bcddbbe63f7_perm_21 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
52c5d2a7-cf61-4508-a681-4bcddbbe63f7_perm_22 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
52c5d2a7-cf61-4508-a681-4bcddbbe63f7_perm_23 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
52c5d2a7-cf61-4508-a681-4bcddbbe63f7_perm_24 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
52c5d2a7-cf61-4508-a681-4bcddbbe63f7_perm_3 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
52c5d2a7-cf61-4508-a681-4bcddbbe63f7_perm_4 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
52c5d2a7-cf61-4508-a681-4bcddbbe63f7_perm_5 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
52c5d2a7-cf61-4508-a681-4bcddbbe63f7_perm_6 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
52c5d2a7-cf61-4508-a681-4bcddbbe63f7_perm_7 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
52c5d2a7-cf61-4508-a681-4bcddbbe63f7_perm_8 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
52c5d2a7-cf61-4508-a681-4bcddbbe63f7_perm_9 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
53694f7c-93a9-4c85-af33-363e5f08af0d_perm_1 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
53694f7c-93a9-4c85-af33-363e5f08af0d_perm_2 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
53694f7c-93a9-4c85-af33-363e5f08af0d_perm_3 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
53694f7c-93a9-4c85-af33-363e5f08af0d_perm_4 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
